building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
7栋,0.8元/平米/月,香榭里,2,南营门街,,和平,3号线西康路站,, / 1997年建成,879户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211050210640/,板楼,27880,18,天津市津房置业发展有限责任公司,容积率/1.84  绿化率/20%
3栋,2.4至2.6元/平米/月,府上和平,76,体育馆街,,和平,1号线营口道站,, / 2015年建成,806户,暂无信息,http://tj.lianjia.com/xiaoqu/1211063290550/,板楼,56349,18,天津开发区东大房地产开发有限公司,容积率/10.9  绿化率/40%
16栋,0.15元/平米/月,天兴里,13,南营门街,和平区中心小学,和平,1号线鞍山道站,, / 1979年建成,875户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046437426/,板楼,47843,21,无开发商,容积率/1.96  绿化率/10%
7栋,0.5元/平米/月,银行里,5,南营门街,,和平,3号线西康路站,, / 1997年建成,653户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045951795/,板楼,26902,20,无开发商,容积率/1.76  绿化率/20%
5栋,1.2元/平米/月,新福方里,13,南市,万全小学/建物街小学,和平,1号线鞍山道站,, / 1998年建成,833户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046589319/,板楼,38766,21,无开发商,容积率/1.5  绿化率/10%
2栋,1.5至6.5元/平米/月,君隆广场,15,体育馆街,,和平,1号线营口道站,, / 2009年建成,610户,北京戴德梁行物业管理有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1211046507173/,塔楼,24207,22,御道津旅（天津）发展有限公司,容积率/1.8  绿化率/30%
5栋,2.3元/平米/月,金德园,65,南营门街,和平区中心小学,和平,1号线鞍山道站,, / 2011年建成,1413户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046414258/,板楼,54903,23,天津金康地产开发有限公司,容积率/9.15  绿化率/15.5%
11栋,0.5元/平米/月,裕德里,27,南市,万全小学,和平,2号线东南角站,, / 1985年建成,1023户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046850259/,板楼,51626,24,无开发商,暂无容积率信息  暂无绿化率信息
3栋,8元/平米/月,保利金香槟,20,南市,万全小学,和平,2号线东南角站,, / 2012年建成,674户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046281076/,板楼,39071,17,无开发商,容积率/1.5  绿化率/10%
3栋,2.8元/平米/月,和平时光,13,劝业场,鞍山道小学,和平,1号线鞍山道站,, / 2013年建成,1202户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046466574/,板楼,42031,24,无开发商,容积率/1.5  绿化率/0.01%
12栋,0.1元/平米/月,振河里,8,新兴街,,和平,3号线吴家窑站,, / 1985年建成,1847户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045957007/,板楼,29100,24,无开发商,容积率/1.7  绿化率/10%
2栋,5.5元/平米/月,环球金融中心津门公寓,11,劝业场,,和平,1号线南楼站,, / 2009年建成,462户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046519829/,塔楼/塔板结合,37055,20,无开发商,容积率/1.5  绿化率/10%
12栋,1元/平米/月,吉利花园,43,南营门街,和平区中心小学,和平,1号线营口道站,, / 2002年建成,1771户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046438082/,板楼,47935,30,天津市房地产发展（集团）股份有限公司,容积率/3.5  绿化率/40%
3栋,0.5元/平米/月,蓉芳里,10,南市,万全小学/建物街小学,和平,1号线鞍山道站,, / 1998年建成,841户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045966388/,板楼,37848,20,无开发商,容积率/1.2  绿化率/10%
11栋,0.15元/平米/月,兴河里,13,新兴街,西康路小学,和平,3号线吴家窑站,, / 1989年建成,1425户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046885400/,板楼,29675,19,无开发商,暂无容积率信息  暂无绿化率信息
2栋,0.5元/平米/月,瑞竹大厦,5,南营门街,,和平,1号线海光寺站,, / 1990年建成,1026户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046615232/,塔楼,30400,35,无开发商,容积率/1.5  绿化率/10%
4栋,4.6元/平米/月,都会轩,88,体育馆街,和平实验小学,和平,1号线营口道站,, / 2012年建成,1022户,家利物业管理（深圳）有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1211046536703/,板楼,53453,45,和记黄埔地产（天津）有限公司,容积率/13.3  绿化率/15%
2栋,5.5元/平米/月,环球金融中心津塔公寓,34,小白楼,四平东道小学,和平,3号线和平路站,, / 2010年建成,690户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211050217606/,塔楼,28800,60,无开发商,容积率/1.6  绿化率/10%
2栋,4.9元/平米/月,瑞景名郡,10,南营门街,,和平,1号线海光寺站,, / 2012年建成,953户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046165071/,塔楼,27904,47,天津瑞景置业有限公司,容积率/4.3  绿化率/35.4%
8栋,0.45元/平米/月,世昌里,42,南营门街,和平区中心小学,和平,1号线鞍山道站,, / 1988年建成,1104户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045943236/,板楼,48732,37,天津市和平区建设开发公司,容积率/2.26  绿化率/10%
10栋,3元/平米/月,迎新里,3,南营门街,,和平,3号线西康路站,, / 1993年建成,521户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046437009/,塔楼/板楼,29952,9,无开发商,容积率/1.5  绿化率/10%
2栋,8元/平米/月,忠信里,12,劝业场,,和平,3号线吴家窑站,, / 1996年建成,272户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045487535/,板楼,25126,9,河西区建设开发总公司,容积率/1.6  绿化率/15%
