building	shop	prper	names	rents	locs2	schools	shopadd	locs1	lines	sales	years	houses	comper	url	build	prices	counts	devloper	types	discribe
1栋	幸福家园一店	暂无信息	观马胡同	0	崇文门	培新小学	东城幸福家园2号楼底商104号	东城	7号线广渠门内站	0	未知类型?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027374657/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
40栋	安定门地铁店	暂无信息	五道营胡同	2	安定门	方家胡同小学	东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	2号线雍和宫站	0	平房?未知年	154户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027380181/	平房	暂无均价	0	暂无信息		暂无容积率信息??绿化率/30%
1栋	和平新城新租赁店	暂无信息	国兴胡同	0	安定门	分司厅小学		东城	2号线鼓楼大街站	0	平房?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111042923890/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	蒋宅口店	暂无信息	鼎成大厦	0	安定门		东城区安定门外大街甘水桥16号楼底商	东城	5号线和平里北街站	0	板楼?未知年	1户	暂无信息	http://bj.lianjia.com/xiaoqu/1111042337138/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
18栋	新怡家园一店	暂无信息	戴家胡同	0	崇文门	前门小学	东城区新怡家园4号楼底商	东城	5号线崇文门站	0	未知类型?未知年	72户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027373718/	未知类型	暂无均价	0	暂无信息		容积率/2.18??绿化率/5.9%
1栋	安定门地铁店	暂无信息	京宝大厦	0	安定门		东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	2号线安定门站	0	塔楼?未知年	280户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041094407/	塔楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	安定门地铁店	暂无信息	嘉信商务楼	0	安定门		东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	1号线玉泉路站	0	板楼?1970年	30户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027377472/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
20栋	安定门地铁店	暂无信息	钱粮北巷	0	安定门		东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	2号线鼓楼大街站	0	平房?未知年	80户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027378848/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	西营房店	暂无信息	安德路45号	0	安定门		东城区西营房胡同9号院4号楼7号	东城	2号线安定门站	0	未知类型?未知年	1户	暂无信息	http://bj.lianjia.com/xiaoqu/1111054646378/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	和平新城新店	暂无信息	民旺五巷	0	和平里		东城区民旺园30号楼配商一层4A地下一层8A	东城	13号线柳芳站	0	未知类型?未知年	8户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041730711/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
