building,shop,prper,names,rents,locs2,schools,shopadd,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,types,discribe
1栋,冠英园店,暂无信息,大后仓胡同21号院,0,官园,,西城区赵登禹路冠英园西底墒29号楼,西城,4号线新街口站,0,未知类型 未知年,2户,暂无信息,http://bj.lianjia.com/xiaoqu/1111046581858/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,官苑八号店,暂无信息,东教胡同,0,官园,黄城根小学官园校区,西城区玉廊西园11-4,西城,,0,未知类型 未知年,4户,暂无信息,http://bj.lianjia.com/xiaoqu/1111049353233/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
7栋,青塔北区租赁店,暂无信息,北长街,0,西单,一六一中附小,无,西城,1号线天安门西站,0,未知类型 未知年,16户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027375728/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,丁丁虚拟8店,暂无信息,苏萝卜胡同,0,官园,,无,西城,4号线西四站,0,平房 未知年,1户,暂无信息,http://bj.lianjia.com/xiaoqu/119000955425426/,平房,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
2栋,庄胜社区店,10.35元/平米/月,中信国安府,0,宣武门,,西城区香炉营东巷2号院3号楼1层1单元103,西城,2号线宣武门站,0,板楼 2017年,165户,北京利信伟业物业管理公司,http://bj.lianjia.com/xiaoqu/1111063623200/,板楼,暂无均价,0,中信国安投资有限公司,,容积率/0.46  绿化率/30%
3栋,西单金牌店,暂无信息,东小栓胡同,0,西单,实验二小长安学部,西城区西绒线胡同10-1-103和10-1-102,西城,1号线天安门西站,0,未知类型 未知年,9户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027373983/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
4栋,官苑八号店,暂无信息,国际投资大厦,0,官园,,西城区玉廊西园11-4,西城,2号线车公庄站,0,塔楼 2003年,1640户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374614/,塔楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
3栋,玉廊园店,暂无信息,育教胡同,0,官园,四根柏小学,西城区西直门南小街133号103,西城,4号线平安里站,0,未知类型 未知年,12户,暂无信息,http://bj.lianjia.com/xiaoqu/1111042922488/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
16栋,官苑八号店,暂无信息,宫门口四条,3,官园,黄城根小学官园校区,西城区玉廊西园11-4,西城,2号线阜成门站,0,未知类型 未知年,52户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374663/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,官园店,暂无信息,光大国际中心,0,官园,,西城区鱼雁胡同甲6号东侧第五单元,西城,2号线车公庄站,0,塔楼 2006年,460户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374536/,塔楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
