building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
7栋,0.8元/平米/月,冠华公寓,2,大王庄,一中心小学,河东,津滨9号线大王庄站,1,2003年,290户,天津市津房物业发展有限公司,http://tj.lianjia.com/xiaoqu/1211045511506/,板楼,22633,4,天津市河东房地产开发总公司,容积率/1.2  绿化率/20%
9栋,0.5元/平米/月,韶山道,4,唐家口,河东实验小学,河东,2号线顺驰桥站,0,1979年,540户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811050697233/,板楼,23256,4,无开发商,暂无容积率信息  暂无绿化率信息
7栋,0.8元/平米/月,翠荫里,3,向阳楼,,河东,2号线翠阜新村站,0,2001年,338户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045598645/,板楼,19348,4,无开发商,容积率/1.6  绿化率/10%
17栋,暂无信息,棉三宿舍,15,富民路,,河东,1号线陈塘庄站,0,未知年,597户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045533138/,未知类型,19312,4,天津建委,容积率/1.6  绿化率/10%
3栋,0.75元/平米/月,上杭花园,0,向阳楼,二中心小学,河东,2号线翠阜新村站,0,1999年,204户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045573020/,板楼,14958,6,无开发商,容积率/1.6  绿化率/10%
4栋,0.5元/平米/月,滨河里,9,上杭路,,河东,,0,1998年,356户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045536606/,板楼,13665,6,天津市河东房地产开发总公司,容积率/2  绿化率/10%
11栋,0.4元/平米/月,倚虹东里,5,万新村,盘山道小学,河东,2号线屿东城站,0,1984年,979户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045597904/,板楼,13929,6,无开发商,容积率/1.6  绿化率/10%
3栋,0.5元/平米/月,华旺里,9,春华街,,河东,2号线顺驰桥站,0,1994年,341户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045470169/,板楼,14457,6,天津市河北区建设开发公司,容积率/1.4  绿化率/10%
18栋,0.1元/平米/月,环秀西里,11,万新村,香小,河东,,0,1986年,1509户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045586153/,板楼,14629,6,无开发商,容积率/1.6  绿化率/10%
9栋,0.8元/平米/月,嘉华新苑,11,唐家口,河东实验小学,河东,,2,2001年,715户,天津津滨联合物业服务有限公司,http://tj.lianjia.com/xiaoqu/1211045672123/,板楼,27475,7,天津市河东房地产开发总公司,容积率/1.2  绿化率/30%
1栋,1.5元/平米/月,琛赢大厦,1,春华街,,河东,2号线远洋国际中心站,0,2001年,72户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046672962/,塔楼,14208,6,天津市建委,容积率/1.5  绿化率/10%
18栋,0.6元/平米/月,凤溪花园,5,常州道,,河东,2号线翠阜新村站,1,2006年,486户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045428421/,板楼,23049,7,无开发商,容积率/1.5  绿化率/10%
2栋,0.5元/平米/月,程林庄路118号,2,上杭路,,河东,,0,1990年,226户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045543623/,板楼,14105,6,无开发商,容积率/1.65  绿化率/10%
11栋,0.58元/平米/月,东屏园,7,春华街,,河东,2号线顺驰桥站,0,2003年,470户,天津顺驰物业管理公司,http://tj.lianjia.com/xiaoqu/1211045703518/,板楼,22618,7,天津顺驰地产有限公司,容积率/1.47  绿化率/30%
8栋,0.6元/平米/月,盛华园,4,春华街,,河东,3号线金狮桥站,0,2002年,600户,天津市嘉越物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045489689/,板楼,20311,7,天津市万达宏顺房地产开发有限公司,容积率/1.2  绿化率/31%
