building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
1栋,暂无信息,津塘公路40,0,大王庄,,河东,滨9号线直沽站,,未知年,100户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051044151/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
1栋,0.5元/平米/月,同卫里,0,新兴街,,和平,号线吴家窑站,,1982年,102户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051871009/,板楼,30515,2,无开发商,容积率/1.5  绿化率/10%
1栋,暂无信息,古田路,1,春华街,,河东,号线顺驰桥站,,未知年,90户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046805859/,未知类型,暂无均价,0,天津建委,容积率/1.69  绿化率/10%
1栋,暂无信息,天池里,2,向阳楼,,河东,号线靖江路站,,未知年,126户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045611592/,未知类型,15017,0,天津建委,容积率/1.6  绿化率/10%
3栋,暂无信息,十经路5,1,大王庄,,河东,滨9号线十一经路站,,未知年,231户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051262338/,未知类型,17721,0,天津建委,暂无容积率信息  暂无绿化率信息
2栋,暂无信息,近营北里,1,常州道,,河东,,,未知年,64户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811050951052/,未知类型,12686,0,天津建委,暂无容积率信息  暂无绿化率信息
12栋,2.94元/平米/月,河东融科瀚棠,0,二号桥街,,河东,滨9号线一号桥站,,2016年,668户,第一太平融科物业管理（北京）有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1211063469478/,板楼,22792,0,融豪（天津）置业有限公司,容积率/2  绿化率/45%
5栋,0.5元/平米/月,滇池里,7,向阳楼,,河东,号线靖江路站,,1988年,478户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045602721/,板楼,18698,1,无开发商,容积率/1.6  绿化率/10%
2栋,0.75元/平米/月,世纪泰豪酒店公寓,6,向阳楼,,河东,号线翠阜新村站,,2009年,200户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046734659/,塔楼,12541,1,暂无信息,暂无容积率信息  暂无绿化率信息
17栋,暂无信息,棉三宿舍,15,富民路,,河东,号线陈塘庄站,,未知年,597户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045533138/,未知类型,19312,4,天津建委,容积率/1.6  绿化率/10%
2栋,0.5元/平米/月,大直沽后街,2,大直沽,,河东,滨9号线直沽站,,1999年,90户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1210317418737485/,板楼,18838,3,天津建委,容积率/1.6  绿化率/10%
3栋,0.1元/平米/月,富民路94号,2,富民路,,河东,号线陈塘庄站,,1988年,205户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045530859/,板楼,16239,2,无开发商,容积率/1.65  绿化率/10%
29栋,0.15元/平米/月,阳安里,24,向阳楼,二中心小学,河东,号线翠阜新村站,,1997年,1320户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045582300/,板楼,15695,6,无开发商,容积率/1.6  绿化率/10%
2栋,1.5元/平米/月,惠康家园,10,春华街,,河东,号线远洋国际中心站,,2006年,7户,天津优联物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045475215/,板楼,19253,5,惠安房地产开发有限公司,容积率/3.8  绿化率/30%
10栋,0.75元/平米/月,光华公寓,7,富民路,松竹里小学,河东,号线陈塘庄站,,1999年,524户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045531130/,板楼,15333,9,无开发商,容积率/1.5  绿化率/10%
17栋,0.5元/平米/月,虎林里,11,集贤里,,北辰,,,1982年,1192户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052572851/,板楼,10660,17,无开发商,容积率/1.5  绿化率/10%
10栋,0.5元/平米/月,万顺里,13,上杭路,,河东,,,1988年,728户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045581016/,板楼,13495,11,河东建设开发公司,容积率/1.3  绿化率/15%
6栋,5.8元/平米/月,天津雅颂居,26,大王庄,一中心小学,河东,号线营口道站,,2014年,2707户,嘉里建设管理（上海）有限公司,http://tj.lianjia.com/xiaoqu/1211047793294/,板楼,34953,33,天津嘉里房地产开发有限公司,容积率/5.79  绿化率/22%
59栋,0.35元/平米/月,程林里,30,上杭路,,河东,,,1990年,4644户,三联物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045537902/,板楼,15318,86,天津市河东房地产开发总公司,容积率/1.7  绿化率/10%
9栋,0.5元/平米/月,荣兴温泉公寓,11,大直沽,六纬路小学,河东,滨9号线直沽站,,1997年,1239户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045549326/,板楼,18501,24,天津市河东区建设委员会,容积率/1.3  绿化率/20%
22栋,0.4元/平米/月,冠云中里,10,万新村,嵩山道小学,河东,号线屿东城站,,1989年,1699户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045572985/,板楼,13585,14,无开发商,容积率/1.6  绿化率/10%
5栋,3.5元/平米/月,紫熙臺,0,鼓楼街,,南开,号线西南角站,,2016年,328户,天津地铁和谐物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211063122593/,塔板结合,39624,0,天津地铁资源投资有限公司,容积率/3.68  绿化率/35%
23栋,0.5元/平米/月,远翠东里,5,万新村,嵩山道小学,河东,,,1989年,1994户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045601731/,板楼,14425,19,无开发商,容积率/1.6  绿化率/10%
1栋,暂无信息,南丰路,0,广开街,,南开,,,未知年,2户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046676256/,未知类型,17599,0,暂无信息,暂无容积率信息  暂无绿化率信息
25栋,13元/平米/月,奥城商业广场,0,体育中心街,,南开,,,2004年,11005户,天津融创物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045210657/,塔楼/板楼,13642,0,天津融创奥城投资有限公司,容积率/2.3  绿化率/35%
1栋,2.2元/平米/月,方正中心大厦,5,广开街,五马路小学,南开,号线西南角站,,2010年,68户,方正物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045165923/,板楼,25411,2,无开发商,容积率/4.2  绿化率/25%
15栋,1元/平米/月,星河花园,6,向阳楼,,河东,号线翠阜新村站,,2004年,806户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045625498/,板楼,22151,8,无开发商,容积率/1.6  绿化率/10%
6栋,0.5元/平米/月,五金城北方城,0,嘉陵道街,,南开,号线芥园西道站,,1990年,46户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047119911/,板楼,23329,1,无开发商,容积率/1.5  绿化率/10%
10栋,2.2元/平米/月,鑫茂科技园民营园,9,华苑,,南开,号线华苑站,,2000年,352户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046761992/,板楼,7459,2,无开发商,容积率/10  绿化率/10%
8栋,0.5元/平米/月,集园里,3,向阳路,前园小学,南开,号线芥园西道站,,1984年,563户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045286860/,板楼,14915,5,无开发商,容积率/2.04  绿化率/10%
7栋,0.5元/平米/月,星环里,9,学府街,南开小学,南开,号线红旗南路站,,1986年,321户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045332531/,塔楼/板楼,15631,4,无开发商,容积率/1.5  绿化率/10%
31栋,8元/平米/月,万科霞光道五号,0,水上公园街,,南开,,,2008年,132户,暂无信息,http://tj.lianjia.com/xiaoqu/1211046169974/,未知类型,71256,4,天津万科新里程房地产有限公司,容积率/0.7  绿化率/40%
1栋,暂无信息,爱俪园,0,水上公园街,,南开,号线周邓纪念馆站,,未知年,134户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046553519/,未知类型,16905,1,天津建委,容积率/1.4  绿化率/15%
